shantenBlind,3649dcddf92922,"kazki (36,500) 46.0","NoName (29,300) 9.0","kobuyan1 (18,500) -21.0","シーザリオ (15,700) -34.0"
shantenBlind,3649dce94cc42e,"小空 (50,100) 60.0","turuturu (30,700) 11.0","NoName (11,800) -28.0","71037号 (7,400) -43.0"
shantenBlind,3649de54d0ba08,"Fujimato (34,200) 44.0","maodan (22,700) 3.0","vehere (22,000) -18.0","NoName (21,100) -29.0"
shantenNaive,3649debdb98770,"大将黄猿 (35,000) 44.0","相手いない (23,500) 4.0","ぴーやま (22,000) -18.0","NoName (19,500) -30.0"
shantenNaive,3649de9efc538a,"一司 (40,400) 51.0","えりかちゃん (25,900) 6.0","チョタアチ (20,400) -20.0","NoName (13,300) -37.0"
shantenBlind,3649dec10a7efc,"AKANe⊿ (30,600) 41.0","問題 (25,600) 6.0","NoName (22,400) -18.0","Asan (21,400) -29.0"
shantenBlind,3649dd0d69f5ae,"ほげ男 (53,500) 63.0","NoName (25,600) 6.0","LyHank (19,800) -20.0","NameNeko (1,100) -49.0"
shantenNaive,3649dfae8aa382,"AJMclean (34,300) 44.0","pascal (26,200) 6.0","NoName (23,000) -17.0","Dragon (16,500) -33.0"
shantenBlind,3649de723bd122,"NoName (30,400) 40.0","ゆゆゆーき (26,100) 6.0","ayutomo (23,000) -17.0","髭虫 (20,500) -29.0"
shantenBlind,3649e0331e4e94,"盛岡ジラフ (34,600) 44.0","NoName (28,000) 8.0","EARL (22,500) -17.0","オレオレオ (14,900) -35.0"
shantenBlind,3649dfd3e4a448,"shin0412 (31,100) 41.0","al6100 (30,800) 11.0","NoName (19,700) -20.0","unco2017 (18,400) -32.0"
shantenNaive,3649dff49dc50c,"5052 (40,400) 50.0","もらもら (26,500) 7.0","ノコノコ (21,300) -19.0","NoName (11,800) -38.0"
shantenBlind,3649e059daf782,"不許 (33,900) 44.0","hcg (27,100) 7.0","NoName (27,000) -13.0","サイトウGM (12,000) -38.0"
shantenNaive,3649e15ae147ca,"pascal (44,300) 53.0","せとさん (26,500) 7.0","NoName (15,700) -24.0","seaman (13,500) -36.0"
shantenNaive,3649e1dad17400,"Momo0303 (52,200) 62.0","YuKi (24,000) 4.0","越後の猫 (24,000) -16.0",NoName (-200) -50.0
shantenBlind,3649e1c9786754,"SOKOTSU (33,300) 44.0","Miles-D (30,400) 10.0","C.Bravo (23,300) -17.0","NoName (13,000) -37.0"
shantenBlind,3649e190f7d090,"髭虫 (31,900) 42.0","HANAKUSO (27,300) 7.0","Lun (20,700) -19.0","NoName (20,100) -30.0"
shantenNaive,3649e1ea0ba8be,"リザヴィー (34,800) 45.0","rialzato (31,000) 11.0","NoName (23,900) -16.0","おっぱい成人 (10,300) -40.0"
shantenBlind,3649e47d29f174,"inochan (45,600) 55.0","kyotess (25,400) 5.0","NoName (21,500) -18.0","天堂忍 (7,500) -42.0"
shantenNaive,3649e455e49a12,"vehere (35,200) 46.0","sabochan (32,200) 12.0","ナキスギィ！ (16,400) -24.0","NoName (16,200) -34.0"
shantenNaive,3649e4719fbef8,"しゅんじ (40,700) 50.0","Green_Go (30,600) 11.0","NoName (17,900) -22.0","smd (10,800) -39.0"
shantenNaive,3649e46d3b88c2,"AJMclean (55,800) 66.0","NoName (24,100) 4.0","masanasa (20,300) -20.0",Возможно (-200) -50.0
shantenBlind,3649e5e8055890,"バリカタネギ増し (36,800) 47.0","dashiyo (24,700) 5.0","青年14歳 (21,400) -19.0","NoName (17,100) -33.0"
shantenNaive,3649e5d911d43a,"kumiko (35,000) 45.0","煙鎖池塘柳 (27,300) 7.0","ゆきりゅう (24,700) -15.0","NoName (13,000) -37.0"
shantenNaive,3649e5d9983282,"yasulan (30,200) 40.0","ryo1111 (30,100) 10.0","にゃぴー (20,100) -20.0","NoName (19,600) -30.0"
shantenBlind,3649e5e44952ce,"sunny (37,800) 48.0","NoName (22,400) 2.0","チュウコウ (21,100) -19.0","madokami (18,700) -31.0"
shantenBlind,3649e4395d7ba0,"hshaotia (45,500) 55.0","リーチのみｗ (23,600) 4.0","BigFoot2 (20,400) -20.0","NoName (10,500) -39.0"
shantenBlind,3649e5e6d99a08,"ibukiman (60,100) 70.0","NoName (33,100) 13.0","くーつくね (16,800) -23.0","Kou1961 (-10,000) -60.0"
shantenBlind,3649e75270c1d2,"リザヴィー (30,100) 40.0","NoName (27,400) 7.0","可可西里 (22,900) -17.0","Parsley (19,600) -30.0"
shantenBlind,3649e7545d483a,"時ニ雨 (33,900) 43.0","jamwt (27,600) 8.0","NoName (20,000) -20.0","MrTako (18,500) -31.0"
shantenNaive,3649e77970676a,"たかよし４８２１ (35,900) 46.0","tzkyd (30,100) 10.0","5052 (22,600) -17.0","NoName (11,400) -39.0"
shantenNaive,3649e78a05a57c,"バーロー侍21 (60,300) 70.0","NoName (18,900) -1.0","おしょう (13,800) -26.0","XiaoC (7,000) -43.0"
