montecarlo,364a0a9d15569e,"ぜっしゅ (33,500) 43.0","いかてん (28,600) 9.0","NoName (23,600) -16.0","空気感 (14,300) -36.0"
montecarlo,364a0a9252156c,"あかさ (44,500) 54.0","ohachan (24,600) 5.0","NoName (21,500) -18.0","さゆりんごすーぱ (9,400) -41.0"
shantenMCS,364a0aa0d38f12,"zri (44,300) 54.0","yayoi163 (27,600) 8.0","sun_flwr (27,300) -13.0",NoName (800) -49.0
montecarlo,364a0bb20f2600,"SEALED9 (36,400) 47.0","tawasi (27,300) 7.0","NoName (22,000) -18.0","１２３４５６７８ (14,300) -36.0"
montecarlo,364a0cce4ae132,"zamdin (50,600) 60.0","たかま (17,800) -2.0","minakiri (16,900) -23.0","NoName (14,700) -35.0"
montecarlo,364a0ee4b42850,"楽しく麻雀！ (42,500) 52.0","ゆめねこ (29,400) 9.0","ゴンドウ (17,600) -22.0","NoName (10,500) -39.0"
montecarlo,364a0e0b937580,"nanda (32,100) 42.0","いみりjiji (25,000) 5.0","NoName (21,700) -18.0","torakich (21,200) -29.0"
montecarlo,364a0efcb27b5a,"じかん泥棒 (34,800) 45.0","明太郎 (27,400) 7.0","NoName (20,500) -19.0","navel (17,300) -33.0"
shantenMCS,364a0eeea5db0e,"K-JIN (38,700) 48.0","riveveri (26,700) 7.0","NoName (22,100) -18.0","Phon (12,500) -37.0"
shantenMCS,364a0ef995858e,"てんぷらそば (33,100) 43.0","たやん (29,800) 10.0","xqs910 (22,900) -17.0","NoName (14,200) -36.0"
montecarlo,364a0ef09acda2,"haitain (50,400) 61.0","bogy72 (26,100) 6.0","teews (18,200) -22.0","NoName (5,300) -45.0"
shantenMCS,364a108c3237b2,"7stars (39,700) 50.0","NoName (23,000) 3.0","難民@もにょ (22,000) -18.0","すぐるのアニキ (15,300) -35.0"
shantenMCS,364a0ec9a580fe,"戦ちゃん (55,700) 66.0","zri (35,900) 16.0","NoName (13,000) -27.0","ohtoshi (-4,600) -55.0"
shantenMCS,364a1074cdbff4,"アンティーポ (33,000) 43.0","sunnyday (30,000) 10.0","NoName (19,000) -21.0","amevvvv (18,000) -32.0"
montecarlo,364a1082d5ff74,"賭月 (43,600) 54.0","NoName (21,100) 1.0","koubanin (18,000) -22.0","開きピン助 (17,300) -33.0"
montecarlo,364a1064272674,"なかちゃん (41,900) 51.0","ヨージ&ヨージ (37,600) 18.0","明太郎 (13,700) -26.0","NoName (6,800) -43.0"
shantenMCS,364a106eb8e7ce,"８１２の父 (38,900) 49.0","誰が不要牌じゃ (25,100) 5.0","NoName (20,000) -20.0","kane35 (16,000) -34.0"
montecarlo,364a105746e654,"NoName (42,000) 52.0","nana63na (28,900) 9.0","Asaosan (23,300) -17.0","t.phar (5,800) -44.0"
montecarlo,364a11edcc161e,"nassii (51,000) 62.0","unco2017 (19,400) -1.0","フカ次郎． (16,200) -24.0","NoName (13,400) -37.0"
montecarlo,364a13487e9d8a,"ネコの花子 (34,900) 44.0","パパン (26,600) 7.0","太一ちゃん (24,500) -15.0","NoName (14,000) -36.0"
shantenMCS,364a13351fdb9e,"NoName (32,900) 42.0","小々波奴 (30,600) 11.0","ちゃろ (27,600) -12.0","難民@もにょ (8,900) -41.0"
montecarlo,364a132171596a,"FCTARA (38,200) 48.0","NoName (25,800) 6.0","零段 (19,200) -21.0","おばけ大根 (16,800) -33.0"
shantenMCS,364a1093cb6490,"オカマです (30,700) 41.0","タコ焼き (30,200) 10.0","NoName (22,400) -18.0","yoboyobo (16,700) -33.0"
montecarlo,364a12dd98a2ae,"いたち川 (40,400) 50.0","NoName (23,800) 4.0","こさんざ (22,200) -18.0","だほそ7 (13,600) -36.0"
montecarlo,364a13492a4b6c,"nobusan (53,000) 63.0","mugisan (25,800) 6.0","黒ノワ (18,000) -22.0","NoName (3,200) -47.0"
montecarlo,364a130e1cb1ae,"雀聖11 (36,700) 47.0","gorohana (31,100) 11.0","新木優子 (21,000) -19.0","NoName (11,200) -39.0"
montecarlo,364a1449a89158,"景気いいやー (36,100) 46.0","senaluap (30,100) 10.0","NoName (20,000) -20.0","白白白撥撥撥中中 (13,800) -36.0"
shantenMCS,364a149451bf86,"ipあきお (37,900) 47.0","シキョー (25,600) 6.0","Znqmz (20,500) -19.0","NoName (16,000) -34.0"
shantenMCS,364a14d164682a,"リョウ君 (38,500) 48.0","T.Iron (25,700) 6.0","Takamina (22,500) -17.0","NoName (13,300) -37.0"
montecarlo,364a148b522646,"katu7777 (36,100) 46.0","パパン (24,700) 5.0","NoName (22,200) -18.0","某家次男 (17,000) -33.0"
montecarlo,364a15fa50db46,"せとさん (34,500) 45.0","スカイツリー (31,200) 11.0","Tadasawa (19,900) -20.0","NoName (14,400) -36.0"
shantenMCS,364a14bd0fde9c,"NoName (32,400) 42.0","小々波奴 (24,500) 5.0","チャイが (23,100) -17.0","とうがらし (20,000) -30.0"
shantenMCS,364a165c1f7bb0,"ごぶりん (37,200) 47.0","NoName (23,000) 3.0","千里の美佳 (20,700) -19.0","riveveri (19,100) -31.0"
montecarlo,364a1631878080,"ディアドラドラ (35,700) 46.0","hurugenn (35,000) 15.0","おふけ (25,300) -15.0","NoName (4,000) -46.0"
shantenMCS,364a163ba32fb2,"NoName (35,200) 45.0","77凄 (28,100) 8.0","モンスタァ (19,100) -21.0","アバトゥース (17,600) -32.0"
montecarlo,364a1650021f70,"ecu (49,700) 59.0","ゲシュニキ (22,500) 3.0","ひがしかわぐち (14,900) -25.0","NoName (12,900) -37.0"
montecarlo,364a163902a2e8,"YAMAGUTI (41,300) 52.0","翠星石zero (33,100) 13.0","NoName (13,300) -27.0","mskyotch (12,300) -38.0"
montecarlo,364a154461a600,"ティバ (47,000) 57.0","panda98 (28,100) 8.0","NoName (27,900) -12.0","オリ～ブ～ (-3,000) -53.0"
montecarlo,364a177fa60eb6,"柊れんじ (35,000) 44.0","小松五郎 (29,000) 9.0","小麦ちゃん (23,500) -16.0","NoName (12,500) -37.0"
shantenMCS,364a17b1f47ce0,"kabu (37,000) 48.0","ちもっ (29,300) 9.0","山口達也メンバ一 (25,400) -15.0","NoName (8,300) -42.0"
shantenMCS,364a14f3789458,"NoName (30,800) 41.0","jmvjdtw (25,500) 6.0","thesekai (22,300) -18.0","chinsan (21,400) -29.0"
montecarlo,364a1771cbf152,"NoName (38,600) 48.0","純度標準 (29,300) 9.0","九連を1晩に2度 (19,600) -20.0","にゃぴー (12,500) -37.0"
shantenMCS,364a17a0c15198,"10E83F99 (37,200) 47.0","NoName (23,600) 4.0","UR曹操 (23,300) -17.0","とりかわきゃっぷ (15,900) -34.0"
shantenMCS,364a1900e5c3a8,"mskyotch (35,000) 44.0","NoName (26,500) 7.0","４５歳男 (24,600) -15.0","daishari (13,900) -36.0"
shantenMCS,364a17768b8d58,"voice (40,600) 51.0","NoName (21,000) 1.0","スカイツリー (20,400) -20.0","なご (18,000) -32.0"
shantenMCS,364a18f32747f0,"aaddsuu (33,900) 43.0","NoName (24,100) 4.0","gugunso (23,500) -16.0","哲也(偽) (18,500) -31.0"
shantenMCS,364a1912670420,"fuku4ma (41,000) 51.0","mako2450 (28,700) 9.0","NoName (17,000) -23.0","wtmsb (13,300) -37.0"
montecarlo,364a18da8cba2c,"くまおとこ (30,200) 39.0","オトゾウさんよ (28,500) 9.0","kabimon (21,500) -18.0","NoName (19,800) -30.0"
montecarlo,364a18c9cb208c,"空気感 (40,500) 50.0","参らせ候ふ (30,400) 10.0","tokifuji (14,600) -25.0","NoName (14,500) -35.0"
montecarlo,364a190a50be66,"じょじょんじょん (41,000) 51.0","KOU553 (38,900) 19.0","ちもっ (14,400) -26.0","NoName (5,700) -44.0"
montecarlo,364a18ae3ecc9e,"タタタンタン (31,600) 41.0","momocham (27,800) 8.0","TheWagon (20,500) -19.0","NoName (20,100) -30.0"
montecarlo,364a1a957cb172,"mugisan (39,700) 50.0","Newma (30,200) 10.0","白白白撥撥撥中中 (22,400) -18.0","NoName (7,700) -42.0"
shantenMCS,364a179fe4f4ce,"nkmmnt (35,100) 45.0","ペースケ (25,200) 5.0","NoName (25,000) -15.0","肥宅快楽水 (14,700) -35.0"
montecarlo,364a1a8285802a,"kotar000 (38,100) 49.0","NoName (27,200) 7.0","ジャン婦Y (19,300) -21.0","紫蘇生地 (15,400) -35.0"
shantenMCS,364a1aace37758,"ジャン婦Y (41,200) 51.0","D.trump (23,700) 4.0","NoName (22,700) -17.0","aaddsuu (12,400) -38.0"
montecarlo,364a1b0cd8fc9e,"twish (36,200) 46.0","恋奏 (28,700) 9.0","NoName (24,900) -15.0","Kaiiiii (10,200) -40.0"
shantenMCS,364a1a879b8fd0,"ＭＩＧＨＴＹ (30,300) 40.0","uria (30,000) 10.0","tai1990 (26,500) -13.0","NoName (13,200) -37.0"
shantenMCS,364a1a71bb7914,"まるまりん (50,200) 60.0","wata１４ (42,700) 23.0","LLSS (9,900) -30.0","NoName (-2,800) -53.0"
